track_uri,track_name,album,artist_name,track_pop,year,language,link
spotify:track:4uoj0LGf8nMrvciw6v9KJh,Aaiye Meharban,Howrah Bridge,Asha Bhosle,44,1950,hindi,https://open.spotify.com/track/spotify:track:4uoj0LGf8nMrvciw6v9KJh?si=b0d970dc39ca4da1&nd=1
spotify:track:6O9tpC8F1dzV1JhkiGQ5iU,Yeh Mera Diwanapan Hai,Yahudi,Mukesh,50,1950,hindi,https://open.spotify.com/track/spotify:track:6O9tpC8F1dzV1JhkiGQ5iU?si=b0d970dc39ca4da1&nd=1
spotify:track:10qfuMs3MlQClbjc2aV0ez,Mera Dil Yeh Pukare Aaja,Nagin,Lata Mangeshkar,39,1950,hindi,https://open.spotify.com/track/spotify:track:10qfuMs3MlQClbjc2aV0ez?si=b0d970dc39ca4da1&nd=1
spotify:track:2YBt1Fy6ZLBCjxYjI8v2YW,Ae Dil Mujhe Bata De,Bhai Bhai,Geeta Dutt,39,1950,hindi,https://open.spotify.com/track/spotify:track:2YBt1Fy6ZLBCjxYjI8v2YW?si=b0d970dc39ca4da1&nd=1
spotify:track:1ud8n9kwdNxHjyRPR0sR3X,Jata Kahan Hai Diwane,C.I.D. (Original Motion Picture Soundtrack),Geeta Dutt,12,1950,hindi,https://open.spotify.com/track/spotify:track:1ud8n9kwdNxHjyRPR0sR3X?si=b0d970dc39ca4da1&nd=1
spotify:track:64xC67m2VV24RykHrBH1kw,Jane Woh Kaise Log The,Pyaasa (Original Motion Picture Soundtrack),Hemant Kumar,39,1950,hindi,https://open.spotify.com/track/spotify:track:64xC67m2VV24RykHrBH1kw?si=b0d970dc39ca4da1&nd=1
spotify:track:22bT1FkZd5jdQWP9UPs2lf,Adha Hai Chandrama,Navrang,Mahendra Kapoor,31,1950,hindi,https://open.spotify.com/track/spotify:track:22bT1FkZd5jdQWP9UPs2lf?si=b0d970dc39ca4da1&nd=1
spotify:track:20cqpJq6UspwjawaL6o1dF,Kisi Ki Muskurahaton Se,Anari (Original Motion Picture Soundtrack),Mukesh,37,1950,hindi,https://open.spotify.com/track/spotify:track:20cqpJq6UspwjawaL6o1dF?si=b0d970dc39ca4da1&nd=1
spotify:track:5Mq8ODSexKA3dMKF60xAS8,Tu Pyar Ka Sagar Hai,Seema (Original Motion Picture Soundtrack),Manna Dey,29,1950,hindi,https://open.spotify.com/track/spotify:track:5Mq8ODSexKA3dMKF60xAS8?si=b0d970dc39ca4da1&nd=1
spotify:track:0GU6pchdaykEAk6wUDiEKI,Jhoomta Mausam Mast Mahina - Ya Allah Ya Allah Dil Le Gayi,Ujala,Lata Mangeshkar,35,1950,hindi,https://open.spotify.com/track/spotify:track:0GU6pchdaykEAk6wUDiEKI?si=b0d970dc39ca4da1&nd=1
